id,nombreCliente,usuarioCliente,estado,totalcuenta,fechahora
66,Ana,anagarcia,creada,40.0,2024-11-01 02:10:00
67,Camilo,camip1234,creada,25.0,2024-10-31 13:52:00
68,Camila,cami_sm23,creada,50.0,2024-11-01 01:45:00
69,Andrea,andreamg,creada,50.0,2024-10-31 15:15:00
70,Valeria,valeria_1,creada,50.0,2024-10-31 11:24:00
71,Carlos,carlito01,creada,20.0,2024-11-01 01:42:00
72,Carlos,carlito01,creada,40.0,2024-11-01 08:58:00
73,Ana,anagarcia,creada,50.0,2024-10-31 15:03:00
74,Camilo,camip1234,creada,20.0,2024-11-01 03:58:00
75,Andrea,andreamg,creada,40.0,2024-11-01 00:43:00
76,Daniel,dannyg123,creada,25.0,2024-10-31 18:03:00
77,Carlos,carlito01,creada,40.0,2024-11-01 04:05:00
78,Carlos,carlito01,creada,60.0,2024-10-31 15:44:00
79,Camilo,camip1234,creada,60.0,2024-10-31 20:21:00
80,Ana,anagarcia,creada,20.0,2024-10-31 09:25:00
81,Daniel,dannyg123,creada,60.0,2024-10-31 13:13:00
82,Camila,cami_sm23,creada,25.0,2024-10-31 17:49:00
83,Carlos,carlito01,creada,60.0,2024-11-01 07:04:00
84,Daniel,dannyg123,creada,20.0,2024-11-01 05:20:00
85,Daniel,dannyg123,creada,20.0,2024-10-31 17:58:00
86,Daniel,dannyg123,creada,20.0,2024-11-01 05:53:00
87,Andrea,andreamg,creada,20.0,2024-11-01 08:24:00
88,Daniel,dannyg123,creada,50.0,2024-10-31 17:03:00
89,Daniel,dannyg123,creada,20.0,2024-10-31 21:07:00
90,Valeria,valeria_1,creada,20.0,2024-11-01 05:25:00
91,Daniel,dannyg123,creada,60.0,2024-10-31 12:25:00
92,Valeria,valeria_1,creada,20.0,2024-10-31 14:58:00
93,Ana,anagarcia,creada,20.0,2024-11-01 07:07:00
94,Carlos,carlito01,creada,20.0,2024-11-01 06:33:00
95,Carlos,carlito01,creada,20.0,2024-11-01 05:43:00
96,Valeria,valeria_1,creada,40.0,2024-10-31 14:47:00
97,Carlos,carlito01,creada,60.0,2024-11-01 05:17:00
98,Andrea,andreamg,creada,20.0,2024-10-31 09:26:00
99,Andrea,andreamg,creada,25.0,2024-11-01 05:51:00
100,Camilo,camip1234,creada,20.0,2024-10-31 23:44:00
101,Daniel,dannyg123,creada,25.0,2024-10-31 15:14:00
102,Andrea,andreamg,creada,50.0,2024-11-01 01:59:00
103,Camilo,camip1234,creada,40.0,2024-11-01 00:22:00
104,Daniel,dannyg123,creada,20.0,2024-11-01 02:20:00
105,Carlos,carlito01,creada,20.0,2024-11-01 00:19:00
106,Daniel,dannyg123,creada,20.0,2024-10-31 19:19:00
107,Camilo,camip1234,creada,20.0,2024-10-31 18:31:00
108,Ana,anagarcia,creada,20.0,2024-10-31 16:33:00
109,Camilo,camip1234,creada,20.0,2024-10-31 18:57:00
110,Camila,cami_sm23,creada,25.0,2024-10-31 09:57:00
111,Camilo,camip1234,creada,20.0,2024-10-31 22:53:00
112,Andrea,andreamg,creada,50.0,2024-10-31 17:00:00
113,Daniel,dannyg123,creada,50.0,2024-10-31 17:44:00
114,Ana,anagarcia,creada,25.0,2024-10-31 18:37:00
115,Andrea,andreamg,creada,20.0,2024-10-31 13:15:00
116,Camilo,camip1234,creada,40.0,2024-11-01 01:20:00
117,Daniel,dannyg123,creada,40.0,2024-10-31 21:01:00
118,Andrea,andreamg,creada,60.0,2024-11-01 04:28:00
119,Daniel,dannyg123,creada,20.0,2024-10-31 12:38:00
120,Andrea,andreamg,creada,40.0,2024-11-01 04:21:00
121,Ana,anagarcia,creada,20.0,2024-10-31 13:38:00
122,Carlos,carlito01,creada,20.0,2024-10-31 22:51:00
123,Carlos,carlito01,creada,40.0,2024-11-01 07:00:00
124,Daniel,dannyg123,creada,20.0,2024-10-31 22:45:00
125,Camila,cami_sm23,creada,20.0,2024-10-31 23:23:00
126,Ana,anagarcia,creada,20.0,2024-10-31 09:35:00
127,Valeria,valeria_1,creada,20.0,2024-11-01 04:05:00
128,Daniel,dannyg123,creada,20.0,2024-10-31 11:31:00
129,Andrea,andreamg,creada,60.0,2024-10-31 10:33:00
130,Valeria,valeria_1,creada,20.0,2024-10-31 22:54:00
131,Camila,cami_sm23,creada,50.0,2024-10-31 09:51:00
132,Ana,anagarcia,creada,40.0,2024-10-31 18:30:00
133,Andrea,andreamg,creada,25.0,2024-11-01 08:55:00
134,Carlos,carlito01,creada,50.0,2024-11-01 06:37:00
135,Ana,anagarcia,creada,25.0,2024-10-31 13:55:00
136,Ana,anagarcia,creada,50.0,2024-10-31 17:44:00
137,Camila,cami_sm23,creada,50.0,2024-10-31 19:14:00
138,Daniel,dannyg123,creada,20.0,2024-10-31 13:24:00
139,Camilo,camip1234,creada,50.0,2024-11-01 04:08:00
140,Camilo,camip1234,creada,20.0,2024-11-01 05:33:00
141,Camilo,camip1234,creada,20.0,2024-10-31 14:45:00
142,Carlos,carlito01,creada,20.0,2024-10-31 13:44:00
143,Camila,cami_sm23,creada,60.0,2024-11-01 00:54:00
144,Camila,cami_sm23,creada,20.0,2024-10-31 23:04:00
145,Andrea,andreamg,creada,20.0,2024-10-31 20:32:00
146,Camila,cami_sm23,creada,20.0,2024-10-31 18:45:00
147,Daniel,dannyg123,creada,20.0,2024-11-01 07:45:00
148,Valeria,valeria_1,creada,25.0,2024-10-31 18:07:00
149,Ana,anagarcia,creada,60.0,2024-10-31 21:49:00
150,Camilo,camip1234,creada,50.0,2024-10-31 16:40:00
151,Carlos,carlito01,creada,20.0,2024-11-01 03:07:00
152,Daniel,dannyg123,creada,50.0,2024-10-31 10:00:00
153,Andrea,andreamg,creada,20.0,2024-11-01 07:10:00
154,Daniel,dannyg123,creada,20.0,2024-10-31 18:48:00
155,Camila,cami_sm23,creada,20.0,2024-11-01 05:20:00
156,Carlos,carlito01,creada,20.0,2024-10-31 13:39:00
157,Camila,cami_sm23,creada,20.0,2024-11-01 02:07:00
158,Andrea,andreamg,creada,40.0,2024-10-31 17:36:00
159,Valeria,valeria_1,creada,50.0,2024-10-31 15:36:00
160,Carlos,carlito01,creada,20.0,2024-11-01 04:34:00
161,Camilo,camip1234,creada,20.0,2024-11-01 01:55:00
162,Carlos,carlito01,creada,25.0,2024-10-31 14:34:00
163,Camilo,camip1234,creada,40.0,2024-11-01 08:44:00
164,Camilo,camip1234,creada,50.0,2024-10-31 19:42:00
165,Carlos,carlito01,creada,60.0,2024-10-31 16:46:00
166,Daniel,dannyg123,creada,20.0,2024-10-31 19:55:00
167,Carlos,carlito01,creada,60.0,2024-11-01 04:52:00
168,Ana,anagarcia,creada,60.0,2024-11-01 05:07:00
169,Daniel,dannyg123,creada,60.0,2024-11-01 01:29:00
170,Ana,anagarcia,creada,20.0,2024-10-31 13:13:00
171,Camilo,camip1234,creada,20.0,2024-10-31 17:07:00
172,Daniel,dannyg123,creada,20.0,2024-10-31 23:38:00
173,Daniel,dannyg123,creada,20.0,2024-10-31 23:19:00
174,Carlos,carlito01,creada,60.0,2024-10-31 23:45:00
175,Carlos,carlito01,creada,20.0,2024-10-31 23:41:00
176,Carlos,carlito01,creada,50.0,2024-10-31 16:39:00
177,Ana,anagarcia,creada,60.0,2024-11-01 02:31:00
178,Daniel,dannyg123,creada,20.0,2024-10-31 20:08:00
179,Camilo,camip1234,creada,25.0,2024-10-31 14:47:00
180,Camila,cami_sm23,creada,25.0,2024-10-31 22:42:00
181,Camilo,camip1234,creada,20.0,2024-11-01 03:12:00
182,Carlos,carlito01,creada,50.0,2024-11-01 04:05:00
183,Ana,anagarcia,creada,40.0,2024-11-01 05:40:00
184,Camila,cami_sm23,creada,40.0,2024-11-01 01:46:00
185,Ana,anagarcia,creada,50.0,2024-10-31 09:04:00
186,Daniel,dannyg123,creada,20.0,2024-11-01 07:20:00
187,Andrea,andreamg,creada,20.0,2024-10-31 15:16:00
188,Valeria,valeria_1,creada,25.0,2024-10-31 09:50:00
189,Camila,cami_sm23,creada,60.0,2024-11-01 08:42:00
190,Camila,cami_sm23,creada,20.0,2024-10-31 12:42:00
191,Camilo,camip1234,creada,25.0,2024-10-31 13:13:00
192,Camilo,camip1234,creada,25.0,2024-11-01 02:51:00
193,Camilo,camip1234,creada,25.0,2024-10-31 15:19:00
194,Andrea,andreamg,creada,50.0,2024-10-31 19:20:00
195,Daniel,dannyg123,creada,20.0,2024-10-31 18:36:00
196,Carlos,carlito01,creada,20.0,2024-10-31 09:08:00
197,Andrea,andreamg,creada,40.0,2024-10-31 21:18:00
198,Carlos,carlito01,creada,20.0,2024-10-31 10:25:00
199,Camilo,camip1234,creada,20.0,2024-11-01 02:00:00
200,Andrea,andreamg,creada,20.0,2024-10-31 22:24:00
201,Camila,cami_sm23,creada,60.0,2024-11-01 01:10:00
202,Camila,cami_sm23,creada,60.0,2024-10-31 16:36:00
203,Camilo,camip1234,creada,20.0,2024-10-31 18:39:00
204,Carlos,carlito01,creada,20.0,2024-11-01 01:06:00
205,Andrea,andreamg,creada,20.0,2024-10-31 11:17:00
206,Carlos,carlito01,creada,50.0,2024-10-31 19:25:00
207,Valeria,valeria_1,creada,20.0,2024-10-31 22:25:00
208,Carlos,carlito01,creada,40.0,2024-11-01 00:00:00
209,Daniel,dannyg123,creada,20.0,2024-11-01 02:02:00
210,Daniel,dannyg123,creada,20.0,2024-10-31 15:47:00
211,Ana,anagarcia,creada,20.0,2024-10-31 13:46:00
212,Daniel,dannyg123,creada,40.0,2024-10-31 15:12:00
213,Ana,anagarcia,creada,20.0,2024-11-01 02:07:00
214,Valeria,valeria_1,creada,20.0,2024-11-01 00:44:00
215,Daniel,dannyg123,creada,20.0,2024-10-31 13:52:00
216,Camila,cami_sm23,creada,25.0,2024-10-31 11:23:00
217,Andrea,andreamg,creada,20.0,2024-10-31 10:31:00
218,Valeria,valeria_1,creada,20.0,2024-11-01 01:07:00
219,Andrea,andreamg,creada,60.0,2024-10-31 14:24:00
220,Ana,anagarcia,creada,20.0,2024-10-31 14:09:00
221,Andrea,andreamg,creada,60.0,2024-11-01 03:55:00
222,Camilo,camip1234,creada,60.0,2024-11-01 06:06:00
223,Camila,cami_sm23,creada,60.0,2024-11-01 05:03:00
224,Carlos,carlito01,creada,20.0,2024-11-01 00:53:00
225,Ana,anagarcia,creada,60.0,2024-11-01 07:38:00
226,Carlos,carlito01,creada,40.0,2024-10-31 11:44:00
227,Ana,anagarcia,creada,20.0,2024-10-31 18:44:00
228,Camilo,camip1234,creada,20.0,2024-11-01 01:32:00
229,Daniel,dannyg123,creada,25.0,2024-10-31 11:10:00
230,Valeria,valeria_1,creada,20.0,2024-11-01 04:37:00
231,Daniel,dannyg123,creada,40.0,2024-11-01 01:46:00
232,Ana,anagarcia,creada,25.0,2024-10-31 09:48:00
233,Camilo,camip1234,creada,50.0,2024-10-31 11:55:00
234,Camilo,camip1234,creada,40.0,2024-11-01 08:27:00
235,Camila,cami_sm23,creada,20.0,2024-10-31 19:37:00
236,Camilo,camip1234,creada,40.0,2024-10-31 14:31:00
237,Daniel,dannyg123,creada,20.0,2024-11-01 00:35:00
238,Andrea,andreamg,creada,50.0,2024-10-31 11:02:00
239,Camila,cami_sm23,creada,20.0,2024-10-31 10:45:00
240,Valeria,valeria_1,creada,25.0,2024-10-31 10:26:00
241,Andrea,andreamg,creada,60.0,2024-11-01 05:42:00
242,Camila,cami_sm23,creada,20.0,2024-10-31 09:58:00
243,Ana,anagarcia,creada,25.0,2024-10-31 20:16:00
244,Carlos,carlito01,creada,50.0,2024-11-01 08:54:00
245,Valeria,valeria_1,creada,20.0,2024-11-01 00:31:00
246,Andrea,andreamg,creada,20.0,2024-11-01 04:51:00
247,Valeria,valeria_1,creada,60.0,2024-10-31 16:04:00
248,Camilo,camip1234,creada,40.0,2024-10-31 21:38:00
249,Daniel,dannyg123,creada,20.0,2024-10-31 12:40:00
250,Camila,cami_sm23,creada,40.0,2024-11-01 02:16:00
251,Ana,anagarcia,creada,50.0,2024-10-31 18:32:00
252,Daniel,dannyg123,creada,40.0,2024-10-31 20:25:00
253,Daniel,dannyg123,creada,60.0,2024-11-01 03:50:00
254,Camila,cami_sm23,creada,50.0,2024-10-31 09:53:00
255,Valeria,valeria_1,creada,50.0,2024-10-31 11:24:00
256,Camilo,camip1234,creada,50.0,2024-10-31 12:47:00
257,Daniel,dannyg123,creada,25.0,2024-10-31 14:08:00
258,Ana,anagarcia,creada,25.0,2024-10-31 14:47:00
259,Ana,anagarcia,creada,25.0,2024-10-31 23:45:00
260,Andrea,andreamg,creada,25.0,2024-11-01 00:28:00
261,Camila,cami_sm23,creada,20.0,2024-10-31 22:37:00
262,Daniel,dannyg123,creada,20.0,2024-11-01 08:32:00
263,Andrea,andreamg,creada,20.0,2024-10-31 11:58:00
264,Andrea,andreamg,creada,60.0,2024-11-01 06:43:00
265,Andrea,andreamg,creada,20.0,2024-11-01 02:33:00
266,Andrea,andreamg,creada,20.0,2024-10-31 11:45:00
267,Camilo,camip1234,creada,40.0,2024-11-01 02:59:00
268,Camila,cami_sm23,creada,20.0,2024-10-31 16:34:00
269,Camilo,camip1234,creada,20.0,2024-10-31 21:30:00
270,Andrea,andreamg,creada,20.0,2024-10-31 14:24:00
271,Andrea,andreamg,creada,20.0,2024-11-01 07:08:00
272,Daniel,dannyg123,creada,40.0,2024-10-31 13:34:00
273,Andrea,andreamg,creada,60.0,2024-10-31 19:50:00
274,Andrea,andreamg,creada,25.0,2024-10-31 21:02:00
275,Daniel,dannyg123,creada,50.0,2024-11-01 05:01:00
276,Ana,anagarcia,creada,50.0,2024-11-01 05:11:00
277,Ana,anagarcia,creada,40.0,2024-10-31 18:19:00
278,Carlos,carlito01,creada,60.0,2024-11-01 06:12:00
279,Valeria,valeria_1,creada,60.0,2024-10-31 11:46:00
280,Carlos,carlito01,creada,20.0,2024-10-31 11:26:00
281,Camilo,camip1234,creada,20.0,2024-10-31 09:18:00
282,Camilo,camip1234,creada,50.0,2024-10-31 10:49:00
283,Camila,cami_sm23,creada,25.0,2024-10-31 20:44:00
284,Camila,cami_sm23,creada,20.0,2024-10-31 12:57:00
285,Camilo,camip1234,creada,40.0,2024-10-31 10:11:00
286,Valeria,valeria_1,creada,20.0,2024-10-31 13:37:00
287,Daniel,dannyg123,creada,60.0,2024-10-31 19:56:00
288,Ana,anagarcia,creada,60.0,2024-10-31 22:59:00
289,Daniel,dannyg123,creada,20.0,2024-11-01 07:45:00
290,Camilo,camip1234,creada,40.0,2024-11-01 05:35:00
291,Camila,cami_sm23,creada,60.0,2024-10-31 09:26:00
292,Valeria,valeria_1,creada,20.0,2024-11-01 05:31:00
293,Daniel,dannyg123,creada,40.0,2024-10-31 22:44:00
294,Valeria,valeria_1,creada,25.0,2024-10-31 15:49:00
295,Carlos,carlito01,creada,40.0,2024-11-01 06:21:00
296,Carlos,carlito01,creada,25.0,2024-11-01 00:19:00
297,Daniel,dannyg123,creada,20.0,2024-10-31 22:04:00
298,Valeria,valeria_1,creada,50.0,2024-10-31 11:21:00
299,Camila,cami_sm23,creada,20.0,2024-10-31 23:03:00
300,Valeria,valeria_1,creada,20.0,2024-11-01 07:55:00
301,Carlos,carlito01,creada,20.0,2024-11-01 05:09:00
302,Camilo,camip1234,creada,50.0,2024-10-31 19:49:00
303,Valeria,valeria_1,creada,20.0,2024-10-31 10:08:00
304,Andrea,andreamg,creada,50.0,2024-10-31 10:12:00
305,Camilo,camip1234,creada,20.0,2024-10-31 21:23:00
306,Camila,cami_sm23,creada,60.0,2024-10-31 14:50:00
307,Camila,cami_sm23,creada,40.0,2024-10-31 14:09:00
308,Carlos,carlito01,creada,20.0,2024-11-01 01:56:00
309,Camilo,camip1234,creada,25.0,2024-11-01 02:03:00
310,Camila,cami_sm23,creada,60.0,2024-10-31 15:06:00
311,Ana,anagarcia,creada,20.0,2024-10-31 10:56:00
312,Ana,anagarcia,creada,25.0,2024-10-31 12:37:00
313,Daniel,dannyg123,creada,20.0,2024-11-01 00:30:00
314,Camilo,camip1234,creada,20.0,2024-11-01 01:48:00
315,Camila,cami_sm23,creada,20.0,2024-11-01 08:25:00
316,Valeria,valeria_1,creada,50.0,2024-10-31 13:07:00
317,Daniel,dannyg123,creada,50.0,2024-11-01 04:36:00
318,Valeria,valeria_1,creada,20.0,2024-10-31 21:35:00
319,Daniel,dannyg123,creada,40.0,2024-11-01 06:09:00
320,Camilo,camip1234,creada,20.0,2024-10-31 15:19:00
321,Camila,cami_sm23,creada,40.0,2024-10-31 19:31:00
322,Camila,cami_sm23,creada,50.0,2024-11-01 02:25:00
323,Andrea,andreamg,creada,20.0,2024-10-31 12:56:00
324,Andrea,andreamg,creada,20.0,2024-11-01 04:08:00
325,Valeria,valeria_1,creada,60.0,2024-10-31 23:44:00
326,Andrea,andreamg,creada,50.0,2024-10-31 21:01:00
327,Valeria,valeria_1,creada,40.0,2024-11-01 02:35:00
328,Carlos,carlito01,creada,40.0,2024-10-31 23:06:00
329,Camilo,camip1234,creada,20.0,2024-11-01 01:52:00
330,Camilo,camip1234,creada,20.0,2024-10-31 10:59:00
331,Camilo,camip1234,creada,60.0,2024-11-01 07:02:00
332,Carlos,carlito01,creada,25.0,2024-11-01 00:32:00
333,Camila,cami_sm23,creada,25.0,2024-11-01 07:44:00
334,Andrea,andreamg,creada,50.0,2024-10-31 10:07:00
335,Valeria,valeria_1,creada,25.0,2024-10-31 15:13:00
336,Camila,cami_sm23,creada,40.0,2024-11-01 05:31:00
337,Daniel,dannyg123,creada,50.0,2024-11-01 03:57:00
338,Ana,anagarcia,creada,40.0,2024-10-31 17:39:00
339,Daniel,dannyg123,creada,20.0,2024-10-31 09:36:00
340,Ana,anagarcia,creada,25.0,2024-10-31 21:59:00
341,Carlos,carlito01,creada,20.0,2024-10-31 16:57:00
342,Daniel,dannyg123,creada,20.0,2024-10-31 23:44:00
343,Camilo,camip1234,creada,50.0,2024-11-01 03:11:00
344,Camila,cami_sm23,creada,20.0,2024-11-01 03:44:00
345,Valeria,valeria_1,creada,20.0,2024-10-31 10:43:00
346,Valeria,valeria_1,creada,60.0,2024-11-01 00:17:00
347,Andrea,andreamg,creada,40.0,2024-11-01 00:47:00
348,Andrea,andreamg,creada,20.0,2024-10-31 17:52:00
349,Daniel,dannyg123,creada,20.0,2024-11-01 01:09:00
350,Carlos,carlito01,creada,20.0,2024-10-31 19:39:00
351,Valeria,valeria_1,creada,20.0,2024-11-01 06:03:00
352,Camila,cami_sm23,creada,50.0,2024-10-31 12:34:00
353,Carlos,carlito01,creada,50.0,2024-10-31 15:42:00
354,Ana,anagarcia,creada,20.0,2024-11-01 06:32:00
355,Camilo,camip1234,creada,20.0,2024-10-31 18:01:00
356,Ana,anagarcia,creada,20.0,2024-10-31 10:23:00
357,Daniel,dannyg123,creada,20.0,2024-10-31 12:32:00
358,Camilo,camip1234,creada,50.0,2024-11-01 08:46:00
359,Daniel,dannyg123,creada,20.0,2024-10-31 23:55:00
360,Carlos,carlito01,creada,20.0,2024-10-31 17:51:00
361,Daniel,dannyg123,creada,20.0,2024-10-31 15:05:00
362,Andrea,andreamg,creada,60.0,2024-10-31 17:49:00
363,Ana,anagarcia,creada,20.0,2024-10-31 12:40:00
364,Carlos,carlito01,creada,20.0,2024-10-31 12:41:00
365,Valeria,valeria_1,creada,20.0,2024-10-31 14:21:00
366,Ana,anagarcia,creada,50.0,2024-10-31 23:49:00
367,Valeria,valeria_1,creada,40.0,2024-10-31 22:28:00
368,Carlos,carlito01,creada,20.0,2024-10-31 15:52:00
369,Ana,anagarcia,creada,20.0,2024-10-31 12:25:00
370,Ana,anagarcia,creada,60.0,2024-10-31 09:23:00
371,Camilo,camip1234,creada,25.0,2024-11-01 06:58:00
372,Daniel,dannyg123,creada,60.0,2024-10-31 15:53:00
373,Carlos,carlito01,creada,40.0,2024-11-01 01:17:00
374,Daniel,dannyg123,creada,20.0,2024-10-31 10:26:00
375,Daniel,dannyg123,creada,50.0,2024-10-31 20:45:00
376,Ana,anagarcia,creada,40.0,2024-10-31 16:22:00
377,Daniel,dannyg123,creada,20.0,2024-11-01 03:05:00
378,Camila,cami_sm23,creada,20.0,2024-10-31 21:06:00
379,Camilo,camip1234,creada,20.0,2024-10-31 14:57:00
380,Camila,cami_sm23,creada,20.0,2024-10-31 15:11:00
381,Camila,cami_sm23,creada,50.0,2024-10-31 22:03:00
382,Carlos,carlito01,creada,60.0,2024-11-01 07:29:00
383,Daniel,dannyg123,creada,50.0,2024-10-31 22:13:00
384,Ana,anagarcia,creada,20.0,2024-10-31 21:08:00
385,Valeria,valeria_1,creada,40.0,2024-11-01 04:27:00
386,Camilo,camip1234,creada,25.0,2024-10-31 22:16:00
387,Carlos,carlito01,creada,20.0,2024-11-01 02:07:00
388,Camila,cami_sm23,creada,25.0,2024-10-31 12:51:00
389,Daniel,dannyg123,creada,25.0,2024-11-01 03:47:00
390,Carlos,carlito01,creada,20.0,2024-11-01 05:07:00
391,Carlos,carlito01,creada,25.0,2024-11-01 00:18:00
392,Daniel,dannyg123,creada,60.0,2024-10-31 09:20:00
393,Carlos,carlito01,creada,25.0,2024-11-01 01:13:00
394,Andrea,andreamg,creada,60.0,2024-11-01 05:30:00
395,Valeria,valeria_1,creada,50.0,2024-11-01 02:59:00
396,Ana,anagarcia,creada,40.0,2024-11-01 03:43:00
397,Daniel,dannyg123,creada,25.0,2024-11-01 00:00:00
398,Camilo,camip1234,creada,60.0,2024-11-01 07:45:00
399,Valeria,valeria_1,creada,20.0,2024-11-01 01:25:00
400,Camilo,camip1234,creada,60.0,2024-10-31 19:22:00
401,Ana,anagarcia,creada,20.0,2024-10-31 10:47:00
402,Camila,cami_sm23,creada,25.0,2024-10-31 13:41:00
403,Ana,anagarcia,creada,20.0,2024-10-31 15:35:00
404,Ana,anagarcia,creada,20.0,2024-11-01 06:45:00
405,Carlos,carlito01,creada,20.0,2024-10-31 13:34:00
406,Andrea,andreamg,creada,20.0,2024-11-01 03:04:00
407,Andrea,andreamg,creada,60.0,2024-11-01 01:33:00
408,Daniel,dannyg123,creada,60.0,2024-11-01 06:34:00
409,Daniel,dannyg123,creada,25.0,2024-10-31 22:11:00
410,Carlos,carlito01,creada,25.0,2024-11-01 00:43:00
411,Andrea,andreamg,creada,60.0,2024-10-31 23:27:00
412,Camilo,camip1234,creada,40.0,2024-11-01 02:49:00
413,Ana,anagarcia,creada,20.0,2024-10-31 14:00:00
414,Carlos,carlito01,creada,40.0,2024-11-01 07:22:00
415,Andrea,andreamg,creada,25.0,2024-10-31 11:34:00
416,Ana,anagarcia,creada,20.0,2024-10-31 20:30:00
417,Daniel,dannyg123,creada,20.0,2024-11-01 04:04:00
418,Carlos,carlito01,creada,60.0,2024-10-31 11:23:00
419,Camila,cami_sm23,creada,20.0,2024-10-31 23:17:00
420,Camilo,camip1234,creada,20.0,2024-10-31 11:22:00
421,Ana,anagarcia,creada,60.0,2024-11-01 03:51:00
422,Valeria,valeria_1,creada,60.0,2024-10-31 15:14:00
423,Andrea,andreamg,creada,40.0,2024-10-31 11:15:00
424,Daniel,dannyg123,creada,60.0,2024-10-31 15:32:00
425,Camila,cami_sm23,creada,50.0,2024-10-31 09:18:00
426,Ana,anagarcia,creada,20.0,2024-10-31 10:10:00
427,Camilo,camip1234,creada,20.0,2024-10-31 14:20:00
428,Ana,anagarcia,creada,40.0,2024-10-31 09:04:00
429,Carlos,carlito01,creada,50.0,2024-10-31 23:57:00
430,Valeria,valeria_1,creada,50.0,2024-10-31 11:07:00
